gestureName, filePath, comments, result
gesture1Right, dataOutput/Nik/2017-08-10 12-59-11.hand, fdfdfd, Yes
gesture1Right, dataOutput/Nik/2017-08-10 13-00-33.hand, fjggyugyug, Yes
gesture1Right, dataOutput/Nik/2017-08-10 13-00-51.hand, fjggyugyug, Yes
gesture1Right, dataOutput/Nik/2017-08-10 13-01-00.hand, fjggyugyug, Yes
gesture3Right, dataOutput/Nik/2017-08-10 13-06-15.hand, , Yes
gesture4Right, dataOutput/Nik/2017-08-10 13-06-24.hand, , Yes
gesture5Right, dataOutput/Nik/2017-08-10 13-06-27.hand, , Yes
gesture6Right, dataOutput/Nik/2017-08-10 13-06-31.hand, hhh, Yes
gesture7Right, dataOutput/Nik/2017-08-10 13-06-48.hand, , Yes
gesture7Right, dataOutput/Nik/2017-08-10 13-07-43.hand, , Yes
gesture8Right, dataOutput/Nik/2017-08-10 13-07-50.hand, , Yes
