gestureName, filePath, comments, result
gesture1Left, dataOutput/Alex/2017-08-18 12-54-48.hand, , Yes
gesture2Left, dataOutput/Alex/2017-08-18 12-54-56.hand, , Yes
gesture3Left, dataOutput/Alex/2017-08-18 12-55-01.hand, , Yes
gesture4Left, dataOutput/Alex/2017-08-18 12-55-06.hand, , Yes
gesture5Left, dataOutput/Alex/2017-08-18 12-55-10.hand, , Yes
gesture6Left, dataOutput/Alex/2017-08-18 12-55-14.hand, , Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-55-20.hand, , Yes
gesture8Left, dataOutput/Alex/2017-08-18 12-55-25.hand, , Yes
gesture9Left, dataOutput/Alex/2017-08-18 12-55-36.hand, , Yes
gesture10Left, dataOutput/Alex/2017-08-18 12-55-46.hand, , Yes
gesture1Right, dataOutput/Alex/2017-08-18 12-56-27.hand, , Yes
gesture2Right, dataOutput/Alex/2017-08-18 12-56-34.hand, , Yes
gesture3Right, dataOutput/Alex/2017-08-18 12-56-39.hand, , Yes
gesture4Right, dataOutput/Alex/2017-08-18 12-56-43.hand, , Yes
gesture5Right, dataOutput/Alex/2017-08-18 12-56-47.hand, , Yes
gesture6Right, dataOutput/Alex/2017-08-18 12-56-51.hand, , Yes
gesture7Right, dataOutput/Alex/2017-08-18 12-56-54.hand, , Yes
gesture8Right, dataOutput/Alex/2017-08-18 12-56-58.hand, , Yes
gesture9Right, dataOutput/Alex/2017-08-18 12-57-02.hand, , Yes
gesture10Right, dataOutput/Alex/2017-08-18 12-57-05.hand, , Yes
gesture1Right, dataOutput/Alex/2017-08-18 12-57-11.hand, , Yes
gesture2Right, dataOutput/Alex/2017-08-18 12-57-14.hand, , Yes
gesture3Right, dataOutput/Alex/2017-08-18 12-57-22.hand, , Yes
gesture4Right, dataOutput/Alex/2017-08-18 12-57-26.hand, , Yes
gesture5Right, dataOutput/Alex/2017-08-18 12-57-31.hand, , Yes
gesture6Right, dataOutput/Alex/2017-08-18 12-57-34.hand, , Yes
gesture7Right, dataOutput/Alex/2017-08-18 12-57-40.hand, , Yes
gesture8Right, dataOutput/Alex/2017-08-18 12-57-43.hand, , Yes
gesture9Right, dataOutput/Alex/2017-08-18 12-57-46.hand, , Yes
gesture10Right, dataOutput/Alex/2017-08-18 12-57-49.hand, , Yes
gesture1Left, dataOutput/Alex/2017-08-18 12-58-08.hand, , Yes
gesture2Left, dataOutput/Alex/2017-08-18 12-58-11.hand, , Yes
gesture3Left, dataOutput/Alex/2017-08-18 12-58-15.hand, , Yes
gesture4Left, dataOutput/Alex/2017-08-18 12-58-17.hand, , Yes
gesture5Left, dataOutput/Alex/2017-08-18 12-58-20.hand, , Yes
gesture6Left, dataOutput/Alex/2017-08-18 12-58-23.hand, , Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-58-27.hand, , Yes
gesture8Left, dataOutput/Alex/2017-08-18 12-58-32.hand, , Yes
gesture9Left, dataOutput/Alex/2017-08-18 12-58-35.hand, , Yes
gesture10Left, dataOutput/Alex/2017-08-18 12-58-39.hand, , Yes
