gestureName, filePath, comments, result
gesture1Right, dataOutput/Stefan/2017-08-23 17-37-33.hand, , Yes
gesture2Right, dataOutput/Stefan/2017-08-23 17-37-38.hand, , Yes
gesture3Right, dataOutput/Stefan/2017-08-23 17-37-42.hand, , Yes
gesture4Right, dataOutput/Stefan/2017-08-23 17-37-46.hand, , Yes
gesture5Right, dataOutput/Stefan/2017-08-23 17-37-49.hand, , Yes
gesture6Right, dataOutput/Stefan/2017-08-23 17-37-53.hand, , Yes
gesture7Right, dataOutput/Stefan/2017-08-23 17-37-58.hand, , Yes
gesture8Right, dataOutput/Stefan/2017-08-23 17-38-03.hand, , Yes
gesture9Right, dataOutput/Stefan/2017-08-23 17-38-07.hand, , Yes
gesture10Right, dataOutput/Stefan/2017-08-23 17-38-16.hand, , Yes
gesture1Left, dataOutput/Stefan/2017-08-23 17-38-35.hand, , Yes
gesture2Left, dataOutput/Stefan/2017-08-23 17-38-38.hand, , Yes
gesture3Left, dataOutput/Stefan/2017-08-23 17-38-42.hand, , Yes
gesture4Left, dataOutput/Stefan/2017-08-23 17-38-45.hand, , Yes
gesture5Left, dataOutput/Stefan/2017-08-23 17-38-48.hand, , Yes
gesture6Left, dataOutput/Stefan/2017-08-23 17-38-51.hand, , Yes
gesture7Left, dataOutput/Stefan/2017-08-23 17-38-55.hand, , Yes
gesture8Left, dataOutput/Stefan/2017-08-23 17-38-58.hand, , Yes
gesture9Left, dataOutput/Stefan/2017-08-23 17-39-03.hand, , Yes
gesture10Left, dataOutput/Stefan/2017-08-23 17-39-06.hand, , Yes
