gestureName, filePath, comments, result
gesture1Left, dataOutput/Nik/2017-08-10 14-11-23.hand, , Yes
gesture2Left, dataOutput/Nik/2017-08-10 14-11-43.hand, , Yes
gesture3Left, dataOutput/Nik/2017-08-10 14-11-52.hand, , Yes
gesture4Left, dataOutput/Nik/2017-08-10 14-12-02.hand, test, Yes
gesture5Left, dataOutput/Nik/2017-08-10 14-12-09.hand, , Yes
gesture6Left, dataOutput/Nik/2017-08-10 14-12-13.hand, , Yes
gesture6Left, dataOutput/Nik/2017-08-10 14-12-16.hand, , Yes
gesture7Left, dataOutput/Nik/2017-08-10 14-12-21.hand, , Yes
gesture8Left, dataOutput/Nik/2017-08-10 14-12-26.hand, , Yes
gesture9Left, dataOutput/Nik/2017-08-10 14-12-36.hand, , Yes
gesture10Left, dataOutput/Nik/2017-08-10 14-12-49.hand, , Yes
