gestureName, filePath, comments, result
gesture1Left, dataOutput/Alex/2017-08-18 12-54-48.hand, na, Yes
gesture2Left, dataOutput/Alex/2017-08-18 12-54-56.hand, na, Yes
gesture3Left, dataOutput/Alex/2017-08-18 12-55-01.hand, na, Yes
gesture4Left, dataOutput/Alex/2017-08-18 12-55-06.hand, na, Yes
gesture5Left, dataOutput/Alex/2017-08-18 12-55-10.hand, na, Yes
gesture6Left, dataOutput/Alex/2017-08-18 12-55-14.hand, na, Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-55-20.hand, na, Yes
gesture8Left, dataOutput/Alex/2017-08-18 12-55-25.hand, na, Yes
gesture9Left, dataOutput/Alex/2017-08-18 12-55-36.hand, na, Yes
gesture10Left, dataOutput/Alex/2017-08-18 12-55-46.hand, na, Yes
gesture1Right, dataOutput/Alex/2017-08-18 12-56-27.hand, na, Yes
gesture2Right, dataOutput/Alex/2017-08-18 12-56-34.hand, na, Yes
gesture3Right, dataOutput/Alex/2017-08-18 12-56-39.hand, na, Yes
gesture4Right, dataOutput/Alex/2017-08-18 12-56-43.hand, na, Yes
gesture5Right, dataOutput/Alex/2017-08-18 12-56-47.hand, na, Yes
gesture6Right, dataOutput/Alex/2017-08-18 12-56-51.hand, na, Yes
gesture7Right, dataOutput/Alex/2017-08-18 12-56-54.hand, na, Yes
gesture8Right, dataOutput/Alex/2017-08-18 12-56-58.hand, na, Yes
gesture9Right, dataOutput/Alex/2017-08-18 12-57-02.hand, na, Yes
gesture10Right, dataOutput/Alex/2017-08-18 12-57-05.hand, na, Yes
gesture1Right, dataOutput/Alex/2017-08-18 12-57-11.hand, na, Yes
gesture2Right, dataOutput/Alex/2017-08-18 12-57-14.hand, na, Yes
gesture3Right, dataOutput/Alex/2017-08-18 12-57-22.hand, na, Yes
gesture4Right, dataOutput/Alex/2017-08-18 12-57-26.hand, na, Yes
gesture5Right, dataOutput/Alex/2017-08-18 12-57-31.hand, na, Yes
gesture6Right, dataOutput/Alex/2017-08-18 12-57-34.hand, na, Yes
gesture7Right, dataOutput/Alex/2017-08-18 12-57-40.hand, na, Yes
gesture8Right, dataOutput/Alex/2017-08-18 12-57-43.hand, na, Yes
gesture9Right, dataOutput/Alex/2017-08-18 12-57-46.hand, na, Yes
gesture10Right, dataOutput/Alex/2017-08-18 12-57-49.hand, na, Yes
gesture1Left, dataOutput/Alex/2017-08-18 12-58-08.hand, na, Yes
gesture2Left, dataOutput/Alex/2017-08-18 12-58-11.hand, na, Yes
gesture3Left, dataOutput/Alex/2017-08-18 12-58-15.hand, na, Yes
gesture4Left, dataOutput/Alex/2017-08-18 12-58-17.hand, na, Yes
gesture5Left, dataOutput/Alex/2017-08-18 12-58-20.hand, na, Yes
gesture6Left, dataOutput/Alex/2017-08-18 12-58-23.hand, na, Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-58-27.hand, na, Yes
gesture8Left, dataOutput/Alex/2017-08-18 12-58-32.hand, na, Yes
gesture9Left, dataOutput/Alex/2017-08-18 12-58-35.hand, na, Yes
gesture10Left, dataOutput/Alex/2017-08-18 12-58-39.hand, na, Yes
