gestureName, filePath, comments, result
gesture1Right, dataOutput/Jacqueline/2017-08-10 16-01-11.hand, na, Yes
gesture2Right, dataOutput/Jacqueline/2017-08-10 16-02-04.hand, na, Yes
gesture3Right, dataOutput/Jacqueline/2017-08-10 16-02-35.hand, na, Yes
gesture4Right, dataOutput/Jacqueline/2017-08-10 16-02-51.hand, na, Yes
gesture5Right, dataOutput/Jacqueline/2017-08-10 16-03-01.hand, na, Yes
gesture6Right, dataOutput/Jacqueline/2017-08-10 16-03-12.hand, na, Yes
gesture7Right, dataOutput/Jacqueline/2017-08-10 16-03-27.hand, na, Yes
gesture8Right, dataOutput/Jacqueline/2017-08-10 16-03-46.hand, na, Yes
gesture9Right, dataOutput/Jacqueline/2017-08-10 16-05-05.hand, na, Yes
gesture10Right, dataOutput/Jacqueline/2017-08-10 16-05-36.hand, na, Yes
gesture1Left, dataOutput/Jacqueline/2017-08-10 16-07-08.hand, na, Yes
gesture2Left, dataOutput/Jacqueline/2017-08-10 16-07-28.hand, na, Yes
gesture3Left, dataOutput/Jacqueline/2017-08-10 16-08-05.hand, na, Yes
gesture4Left, dataOutput/Jacqueline/2017-08-10 16-09-39.hand, na, Yes
gesture5Left, dataOutput/Jacqueline/2017-08-10 16-09-58.hand, na, Yes
gesture6Left, dataOutput/Jacqueline/2017-08-10 16-10-14.hand, na, Yes
gesture7Left, dataOutput/Jacqueline/2017-08-10 16-10-38.hand, na, Yes
gesture8Left, dataOutput/Jacqueline/2017-08-10 16-10-46.hand, na, Yes
gesture9Left, dataOutput/Jacqueline/2017-08-10 16-11-04.hand, na, Yes
gesture10Left, dataOutput/Jacqueline/2017-08-10 16-11-14.hand, na, Yes
