gestureName, filePath, comments, result
gesture1Right, dataOutput/Stefan/2017-08-23 17-37-33.hand, na, Yes
gesture2Right, dataOutput/Stefan/2017-08-23 17-37-38.hand, na, Yes
gesture3Right, dataOutput/Stefan/2017-08-23 17-37-42.hand, na, Yes
gesture4Right, dataOutput/Stefan/2017-08-23 17-37-46.hand, na, Yes
gesture5Right, dataOutput/Stefan/2017-08-23 17-37-49.hand, na, Yes
gesture6Right, dataOutput/Stefan/2017-08-23 17-37-53.hand, na, Yes
gesture7Right, dataOutput/Stefan/2017-08-23 17-37-58.hand, na, Yes
gesture8Right, dataOutput/Stefan/2017-08-23 17-38-03.hand, na, Yes
gesture9Right, dataOutput/Stefan/2017-08-23 17-38-07.hand, na, Yes
gesture10Right, dataOutput/Stefan/2017-08-23 17-38-16.hand, na, Yes
gesture1Left, dataOutput/Stefan/2017-08-23 17-38-35.hand, na, Yes
gesture2Left, dataOutput/Stefan/2017-08-23 17-38-38.hand, na, Yes
gesture3Left, dataOutput/Stefan/2017-08-23 17-38-42.hand, na, Yes
gesture4Left, dataOutput/Stefan/2017-08-23 17-38-45.hand, na, Yes
gesture5Left, dataOutput/Stefan/2017-08-23 17-38-48.hand, na, Yes
gesture6Left, dataOutput/Stefan/2017-08-23 17-38-51.hand, na, Yes
gesture7Left, dataOutput/Stefan/2017-08-23 17-38-55.hand, na, Yes
gesture8Left, dataOutput/Stefan/2017-08-23 17-38-58.hand, na, Yes
gesture9Left, dataOutput/Stefan/2017-08-23 17-39-03.hand, na, Yes
gesture10Left, dataOutput/Stefan/2017-08-23 17-39-06.hand, na, Yes
