gestureName, filePath, comments, result
gesture7Left, dataOutput/General/2017-08-10 01-51-54.hand, c7, Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-55-20.hand, na, Yes
gesture7Left, dataOutput/Alex/2017-08-18 12-58-27.hand, na, Yes
gesture7Left, dataOutput/Jacqueline/2017-08-10 16-10-38.hand, na, Yes
gesture7Left, dataOutput/Stefan/2017-08-23 17-38-55.hand, na, Yes
gesture7Left, dataOutput/test1/2017-08-22 22-34-28.hand, 1, Yes
gesture7Left, dataOutput/test1/2017-08-22 22-34-34.hand, 2, Yes
gesture7Left, dataOutput/test2/2017-08-22 22-51-11.hand, 1, Yes
gesture7Left, dataOutput/test2/2017-08-22 22-51-31.hand, 2, Yes
gesture7Left, dataOutput/test3/2017-08-22 23-32-46.hand, 1, Yes
gesture7Left, dataOutput/test4/2017-08-23 00-04-57.hand, na, Yes
gesture7Left, dataOutput/test5/2017-08-23 00-28-01.hand, na, Yes
gesture7Left, dataOutput/test6/2017-08-24 02-31-04.hand, na, Yes
